transaction_date,ticker,id
09-30-2019,EAF,647
09-30-2019,MSFT,648
09-30-2019,COP,649
09-30-2019,STT,650
09-30-2019,PG,651
09-30-2019,DIS,652
09-30-2019,USB,653
09-30-2019,KO,654
09-30-2019,MSM,655
09-30-2019,PEP,656
09-30-2019,XOM,657
09-30-2019,NWSA,658
09-30-2019,SYK,659
09-30-2019,BOIVF,660
09-30-2019,ORCL,661
09-30-2019,FOX,662
09-30-2019,BK,663
09-30-2019,BKNG,664
09-30-2019,ANTM,665
09-30-2019,SYY,666
09-30-2019,UHAL,667
10-01-2019,CBS,668
10-01-2019,ENTG,669
10-01-2019,CBS,670
10-02-2019,IP,671
10-10-2019,PBA,672
10-11-2019,SPY,673
10-11-2019,CTSH,674
10-11-2019,XOM,675
10-11-2019,RF,676
10-11-2019,MOS,677
10-11-2019,DVN,678
10-11-2019,CBS,679
10-11-2019,SPY,680
10-11-2019,LGF-B,681
10-11-2019,FDX,682
10-15-2019,NWSA,683
10-16-2019,NWSA,684
10-17-2019,TRGP,685
10-18-2019,ENTG,686
10-23-2019,DOW,687
10-23-2019,RF,688
10-23-2019,PAA,689
10-25-2019,ALB,690
10-23-2019,MSFT,691
10-17-2019,KTB,692
10-01-2019,KTB,693
10-01-2019,AMZN,694
10-31-2019,MA,695
10-15-2019,AAPL,696
10-01-2019,NVDA,697
10-31-2019,NFLX,698
10-01-2019,NFLX,699
10-03-2019,AAPL,700
10-01-2019,CELG,701
10-21-2019,IBM,703
09-25-2019,WFC,706
09-25-2019,DIS,707
09-25-2019,3V64.TI,708
09-25-2019,VZ,709
09-25-2019,TXN,710
09-25-2019,JNK,711
09-25-2019,OXY,712
09-25-2019,MPC,713
09-25-2019,JNJ,714
09-25-2019,INTC,715
09-25-2019,GILD,716
09-25-2019,GIS,717
09-25-2019,0QZI.IL,718
09-25-2019,XOM,719
09-25-2019,COST,720
09-25-2019,KO,721
09-25-2019,AAPL,722
09-25-2019,WFC,723
09-25-2019,DIS,724
09-25-2019,3V64.TI,725
09-25-2019,VZ,726
09-25-2019,USB,727
09-25-2019,TXN,728
09-25-2019,JNK,729
09-25-2019,OXY,730
09-25-2019,MSFT,731
09-25-2019,MPC,732
09-25-2019,JNJ,733
09-25-2019,INTC,734
09-25-2019,GILD,735
09-25-2019,GIS,736
09-25-2019,0QZI.IL,737
09-25-2019,XOM,738
09-25-2019,CVS,739
09-25-2019,COST,740
09-25-2019,KO,741
09-25-2019,BRK-B,742
09-25-2019,BAC,743
09-25-2019,AAPL,744
09-25-2019,AMZN,745
09-30-2019,UNH,746
09-30-2019,XBI,747
08-27-2019,TSLA,751
08-27-2019,CVS,752
08-27-2019,T,753
08-27-2019,TSLA,754
09-26-2019,FDX,767
09-04-2019,CZR,768
09-05-2019,CZR,769
09-11-2019,ENTG,770
09-13-2019,ENTG,771
09-16-2019,BPL,772
09-16-2019,BPL,773
09-16-2019,BPL,774
09-17-2019,BPL,775
09-18-2019,ET,776
09-18-2019,WES,777
09-18-2019,WES,778
09-18-2019,BPL,779
09-18-2019,BPL,780
09-19-2019,OKE,781
09-19-2019,AAPL,782
09-19-2019,DCP,783
09-25-2019,GPK,784
09-25-2019,SU,785
09-24-2019,NFLX,788
09-24-2019,KTB,789
09-01-2019,WFC,790
08-01-2019,DD,791
08-15-2019,CVET,792
08-20-2019,AKAM,793
08-26-2019,T,796
08-26-2019,T,797
08-22-2019,T,798
08-21-2019,ENTG,799
08-19-2019,ENTG,800
08-16-2019,CZR,801
08-15-2019,CZR,802
08-15-2019,GPK,803
08-15-2019,ENTG,804
08-15-2019,M,805
08-15-2019,BMY,806
08-14-2019,GPK,807
08-14-2019,GPK,808
08-13-2019,EXR,809
08-13-2019,EXR,810
08-12-2019,GPK,811
08-09-2019,DIS,812
08-09-2019,FEYE,813
08-09-2019,GPK,814
08-09-2019,DIS,815
08-08-2019,GPK,816
08-08-2019,KR,817
08-08-2019,KR,818
08-08-2019,M,819
08-07-2019,KR,820
08-07-2019,CZR,821
08-07-2019,STT,822
08-06-2019,CZR,823
08-06-2019,KR,824
08-05-2019,KR,825
08-05-2019,CZR,826
08-14-2019,NFLX,829
08-14-2019,AMZN,830
07-23-2019,WAT,831
07-23-2019,CMCSA,832
08-22-2019,DOW,833
07-23-2019,CVS,834
07-23-2019,UPS,835
10-31-2018,BBT,838
03-22-2018,REVB,840
07-27-2018,REVB,841
08-22-2018,CAPL,842
08-09-2018,CAPL,843
08-02-2018,PG,844
01-05-2018,PFS,845
01-08-2018,REVB,846
01-08-2018,PFS,847
01-30-2018,REVB,848
01-30-2018,REVB,849
01-05-2018,BAC,850
05-16-2018,REVB,851
05-02-2018,BOX,852
05-02-2018,BOX,853
02-15-2018,NTRP,854
02-08-2018,REVB,855
07-27-2018,REVB,856
09-06-2018,GE,857
04-30-2018,REVB,858
04-23-2018,BOX,859
06-25-2018,REVB,860
06-06-2018,REVB,861
12-07-2018,WMT,863
12-07-2018,SBUX,864
12-07-2018,PG,865
12-07-2018,NVS,866
12-07-2018,JPM,867
12-07-2018,MSFT,868
12-07-2018,MDT,869
12-07-2018,FRT,870
12-07-2018,XOM,871
12-07-2018,DIS,872
12-07-2018,CMCSA,873
12-07-2018,CSCO,874
12-07-2018,CVS,875
12-07-2018,AAPL,876
12-07-2018,AMGN,877
07-18-2019,MALOX,878
07-17-2019,GTCSX,879
07-17-2019,TSCIX,880
07-17-2019,VPMAX,881
07-17-2019,IWF,882
06-28-2019,MPLX,883
07-31-2019,REVB,884
07-18-2019,CEF,887
07-18-2019,ABB,888
07-16-2019,SMG,889
07-16-2019,CAG,890
07-25-2019,T,894
07-25-2019,KO,895
07-25-2019,GE,896
07-25-2019,PYPL,897
07-25-2019,JCI,898
08-02-2019,SUN,899
08-02-2019,KR,900
08-02-2019,GPK,901
08-02-2019,CZR,902
08-02-2019,GPK,903
08-01-2019,GPK,904
08-01-2019,CZR,905
08-01-2019,ENTG,906
08-01-2019,HBI,907
07-31-2019,GPK,908
07-30-2019,GPK,909
07-23-2019,CZR,910
07-19-2019,CZR,911
07-19-2019,LGF-B,912
07-18-2019,CZR,913
07-17-2019,CZR,914
07-16-2019,CZR,915
07-15-2019,MYL,916
07-15-2019,ABBV,917
07-15-2019,BMY,918
07-15-2019,DOW,919
07-15-2019,DOW,920
07-15-2019,DD,921
07-15-2019,DD,922
07-12-2019,ENTG,923
07-10-2019,MSM,924
07-10-2019,CZR,925
07-09-2019,BWXT,926
07-08-2019,CZR,927
07-08-2019,BWXT,928
07-02-2019,CZR,929
07-01-2019,CZR,930
12-20-2018,CVS,932
07-17-2019,AIG,937
06-05-2019,NSRGY,938
06-05-2019,KO,939
06-10-2019,RDSA.AS,940
06-10-2019,MSFT,941
06-10-2019,INTC,942
06-10-2019,HBAN,943
06-10-2019,XOM,944
06-10-2019,C,945
06-10-2019,NSC,946
06-25-2019,PYPL,947
06-26-2019,BSTZ,948
06-21-2019,WMT,949
06-21-2019,FB,950
06-21-2019,NOC,951
06-21-2019,TGT,952
06-21-2019,NOC,953
06-26-2019,BSTZ,955
06-26-2019,BSTZ,956
06-28-2019,FEYE,961
06-28-2019,CZR,962
06-27-2019,CZR,963
